date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-06-13 00:45:00+00:00,2023,Instituto Cordoba,Racing Club,478,436,1,1,1
2023-06-13 00:45:00+00:00,2023,Velez Sarsfield,Argentinos JRS,438,458,0,1,0
2023-06-13 21:00:00+00:00,2023,Defensa Y Justicia,Belgrano Cordoba,442,440,2,0,2
2023-06-13 21:00:00+00:00,2023,Colon Santa Fe,Estudiantes L.P.,448,450,1,0,2
2023-06-13 23:30:00+00:00,2023,Gimnasia L.P.,Huracan,434,445,1,0,2
2023-06-13 23:30:00+00:00,2023,Atletico Tucuman,Godoy Cruz,455,439,2,1,2
2023-06-17 18:30:00+00:00,2023,Union Santa Fe,Lanus,441,446,1,1,1
2023-06-17 21:00:00+00:00,2023,Racing Club,Velez Sarsfield,436,438,2,1,2
2023-06-18 19:30:00+00:00,2023,River Plate,Defensa Y Justicia,435,442,1,0,2
2023-06-21 22:00:00+00:00,2023,Estudiantes L.P.,San Lorenzo,450,460,1,1,1
2023-06-22 00:30:00+00:00,2023,Central Cordoba de Santiago,Gimnasia L.P.,1065,434,0,0,1
2023-06-22 20:00:00+00:00,2023,Tigre,Velez Sarsfield,452,438,2,1,2
2023-06-22 21:00:00+00:00,2023,Racing Club,Barracas Central,436,2432,1,1,1
2023-06-22 22:45:00+00:00,2023,River Plate,Instituto Cordoba,435,478,3,1,2
2023-06-23 00:45:00+00:00,2023,Godoy Cruz,Boca Juniors,439,451,4,0,2
2023-06-23 22:00:00+00:00,2023,Huracan,Newells Old Boys,445,457,1,1,1
2023-06-24 00:30:00+00:00,2023,Argentinos JRS,Defensa Y Justicia,458,442,3,1,2
2023-06-24 20:00:00+00:00,2023,Union Santa Fe,Independiente,441,453,3,0,2
2023-06-24 23:00:00+00:00,2023,Lanus,Talleres Cordoba,446,456,2,1,2
2023-06-25 18:30:00+00:00,2023,Arsenal Sarandi,Platense,459,1064,0,2,0
2023-06-25 22:00:00+00:00,2023,Rosario Central,Colon Santa Fe,437,448,1,1,1
